@PG,,,ID:bwa,PN:bwa,,VN:0.7.17-r1188,CL:bwa,mem,#NAME?,10,/cluster/project/gdc/shared/p298/Rishi/PostPhaseScaffoldingGenomes/WF_Canu.chr.fasta,/cluster/project/gdc/shared/p298/Rishi/LinkageMap/SpeciesAveragedMap.fasta,,,,,,
consensus_42108,SA10,0,0,PGA,scaffold21,16735146,60,x,x,x,x,x,x,x,x,x,x,x
consensus_27024,SA10,2.3,0,PGA,scaffold21,6158036,60,x,x,x,x,x,x,x,x,x,x,x
consensus_7502,SA10,2.63,16,PGA,scaffold21,26075329,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35443,SA10,2.96,16,PGA,scaffold21,4265915,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39046,SA10,3.28,16,PGA,scaffold21,9921532,60,x,x,x,x,x,x,x,x,x,x,x
consensus_23950,SA10,3.28,0,PGA,scaffold21,25356255,60,x,x,x,x,x,x,x,x,x,x,x
consensus_51425,SA10,3.28,16,PGA,scaffold21,14161024,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35437,SA10,3.28,0,PGA,scaffold21,16071829,40,x,x,x,x,x,x,x,x,x,x,x
consensus_58125,SA10,3.28,0,PGA,scaffold21,8255244,60,x,x,x,x,x,x,x,x,x,x,x
consensus_10613,SA10,3.61,16,PGA,scaffold21,2393171,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36718,SA10,9.46,0,PGA,scaffold21,5296716,60,x,x,x,x,x,x,x,x,x,x,x
consensus_6964,SA10,14.45,16,PGA,scaffold21,5743462,60,x,x,x,x,x,x,x,x,x,x,x
consensus_27237,SA10,14.45,0,PGA,scaffold21,12979310,60,x,x,x,x,x,x,x,x,x,x,x
consensus_11962,SA10,14.78,0,PGA,scaffold21,13422326,60,x,x,x,x,x,x,x,x,x,x,x
consensus_46988,SA10,16.43,16,PGA,scaffold21,5841387,60,x,x,x,x,x,x,x,x,x,x,x
consensus_25515,SA10,18.42,16,PGA,scaffold21,8197287,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47717,SA10,18.42,0,PGA,scaffold21,7651831,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47290,SA10,20.07,0,PGA,scaffold21,3390159,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47247,SA10,20.07,0,PGA,scaffold21,17270740,60,x,x,x,x,x,x,x,x,x,x,x
consensus_54547,SA10,20.39,16,PGA,scaffold21,26166211,60,x,x,x,x,x,x,x,x,x,x,x
consensus_30299,SA10,20.39,0,PGA,scaffold21,8574539,60,x,x,x,x,x,x,x,x,x,x,x
consensus_34698,SA10,22.38,0,PGA,scaffold21,8258545,60,x,x,x,x,x,x,x,x,x,x,x
consensus_7232,SA10,22.38,0,PGA,scaffold21,9859385,60,x,x,x,x,x,x,x,x,x,x,x
consensus_4792,SA10,22.71,0,PGA,scaffold21,15310356,51,x,x,x,x,x,x,x,x,x,x,x
consensus_36754,SA10,22.71,16,PGA,scaffold21,15866759,60,x,x,x,x,x,x,x,x,x,x,x
consensus_21960,SA10,22.71,16,PGA,scaffold21,9795162,41,x,x,x,x,x,x,x,x,x,x,x
consensus_3728,SA10,23.68,0,PGA,scaffold21,22717600,60,x,x,x,x,x,x,x,x,x,x,x
consensus_34493,SA10,23.68,0,PGA,scaffold21,57518701,60,x,x,x,x,x,x,x,x,x,x,x
consensus_61827,SA10,23.68,16,PGA,scaffold21,1695243,60,x,x,x,x,x,x,x,x,x,x,x
consensus_50604,SA10,24.01,0,PGA,scaffold21,12364018,43,x,x,x,x,x,x,x,x,x,x,x
consensus_4837,SA10,26.66,16,PGA,scaffold21,11675717,60,x,x,x,x,x,x,x,x,x,x,x
consensus_45912,SA10,26.66,16,PGA,scaffold21,10752349,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47811,SA10,26.99,0,PGA,scaffold21,11569141,60,x,x,x,x,x,x,x,x,x,x,x
consensus_54036,SA10,26.99,0,PGA,scaffold21,11552425,60,x,x,x,x,x,x,x,x,x,x,x
consensus_64773,SA10,26.99,0,PGA,scaffold21,10269809,60,x,x,x,x,x,x,x,x,x,x,x
consensus_38491,SA10,28.63,16,PGA,scaffold21,13614356,60,x,x,x,x,x,x,x,x,x,x,x
consensus_34903,SA10,28.63,16,PGA,scaffold21,12674683,60,x,x,x,x,x,x,x,x,x,x,x
consensus_66732,SA10,29.28,0,PGA,scaffold21,57518615,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39607,SA10,29.28,0,PGA,scaffold21,17677079,60,x,x,x,x,x,x,x,x,x,x,x
consensus_16507,SA10,29.28,0,Contig,16135.015490F,19204,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35719,SA10,29.61,0,PGA,scaffold21,16850755,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47721,SA10,29.61,0,PGA,scaffold21,15153706,60,x,x,x,x,x,x,x,x,x,x,x
consensus_52828,SA10,29.93,16,PGA,scaffold21,16347595,60,x,x,x,x,x,x,x,x,x,x,x
consensus_48877,SA10,30.26,16,PGA,scaffold21,25968197,60,x,x,x,x,x,x,x,x,x,x,x
consensus_28833,SA10,30.26,0,PGA,scaffold21,19713767,60,x,x,x,x,x,x,x,x,x,x,x
consensus_62255,SA10,30.59,0,PGA,scaffold21,19753636,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35745,SA10,30.59,0,PGA,scaffold21,19713853,60,x,x,x,x,x,x,x,x,x,x,x
consensus_10744,SA10,30.59,16,PGA,scaffold21,19703888,60,x,x,x,x,x,x,x,x,x,x,x
consensus_34670,SA10,31.24,0,PGA,scaffold21,22584763,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29470,SA10,31.89,16,PGA,scaffold21,32574251,60,x,x,x,x,x,x,x,x,x,x,x
consensus_45682,SA10,32.88,0,PGA,scaffold21,37542865,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29076,SA10,32.88,0,PGA,scaffold21,34745745,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36259,SA10,33.2,0,PGA,scaffold21,37476292,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35447,SA10,33.2,16,PGA,scaffold21,33252277,60,x,x,x,x,x,x,x,x,x,x,x
consensus_24238,SA10,33.53,16,PGA,scaffold21,25875770,60,x,x,x,x,x,x,x,x,x,x,x
consensus_37430,SA10,33.53,0,PGA,scaffold21,33546369,60,x,x,x,x,x,x,x,x,x,x,x
consensus_17629,SA10,33.85,0,PGA,scaffold21,34776240,60,x,x,x,x,x,x,x,x,x,x,x
consensus_44659,SA10,33.85,0,PGA,scaffold21,33546455,60,x,x,x,x,x,x,x,x,x,x,x
consensus_34056,SA10,34.83,0,PGA,scaffold21,37542779,60,x,x,x,x,x,x,x,x,x,x,x
consensus_23593,SA10,36.48,0,PGA,scaffold21,39903434,60,x,x,x,x,x,x,x,x,x,x,x
consensus_52748,SA10,37.47,0,PGA,scaffold21,40782577,60,x,x,x,x,x,x,x,x,x,x,x
consensus_23773,SA10,37.47,0,PGA,scaffold21,40295459,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36991,SA10,37.79,0,PGA,scaffold21,40295545,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47507,SA10,39.11,0,PGA,scaffold21,41188158,60,x,x,x,x,x,x,x,x,x,x,x
consensus_45226,SA10,39.76,16,PGA,scaffold21,42236482,60,x,x,x,x,x,x,x,x,x,x,x
consensus_33005,SA10,40.09,0,PGA,scaffold21,41683436,43,x,x,x,x,x,x,x,x,x,x,x
consensus_45204,SA10,40.74,16,PGA,scaffold21,42858759,60,x,x,x,x,x,x,x,x,x,x,x
consensus_60794,SA10,46.71,0,PGA,scaffold21,44492348,60,x,x,x,x,x,x,x,x,x,x,x
consensus_13192,SA10,47.37,0,PGA,scaffold21,44576760,60,x,x,x,x,x,x,x,x,x,x,x
consensus_15195,SA10,47.69,0,PGA,scaffold21,44868879,60,x,x,x,x,x,x,x,x,x,x,x
consensus_40959,SA10,48.02,0,PGA,scaffold21,44910969,60,x,x,x,x,x,x,x,x,x,x,x
consensus_10329,SA10,49.66,0,PGA,scaffold21,43305335,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35021,SA10,49.66,16,PGA,scaffold21,26145140,60,x,x,x,x,x,x,x,x,x,x,x
consensus_20586,SA10,49.98,0,PGA,scaffold21,35483553,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35960,SA10,49.98,0,PGA,scaffold21,34209871,60,x,x,x,x,x,x,x,x,x,x,x
consensus_42020,SA10,49.98,0,PGA,scaffold21,34209957,60,x,x,x,x,x,x,x,x,x,x,x
consensus_60135,SA10,51.95,0,PGA,scaffold21,40917540,60,x,x,x,x,x,x,x,x,x,x,x
consensus_49930,SA10,51.95,0,PGA,scaffold21,48303100,60,x,x,x,x,x,x,x,x,x,x,x
consensus_66438,SA10,52.61,0,PGA,scaffold21,48943954,60,x,x,x,x,x,x,x,x,x,x,x
consensus_13388,SA10,52.93,0,PGA,scaffold21,38133094,60,x,x,x,x,x,x,x,x,x,x,x
consensus_30192,SA10,52.93,16,PGA,scaffold21,28191756,60,x,x,x,x,x,x,x,x,x,x,x
consensus_20624,SA10,52.93,0,PGA,scaffold21,48746773,60,x,x,x,x,x,x,x,x,x,x,x
consensus_6209,SA10,52.93,0,PGA,scaffold21,38027853,60,x,x,x,x,x,x,x,x,x,x,x
consensus_53601,SA10,53.26,0,PGA,scaffold21,46898859,60,x,x,x,x,x,x,x,x,x,x,x
consensus_17926,SA10,53.26,16,PGA,scaffold21,55610497,60,x,x,x,x,x,x,x,x,x,x,x
consensus_54582,SA10,53.26,16,PGA,scaffold21,46999994,60,x,x,x,x,x,x,x,x,x,x,x
consensus_42772,SA10,53.58,16,PGA,scaffold21,48944040,41,x,x,x,x,x,x,x,x,x,x,x
consensus_45303,SA10,53.91,0,PGA,scaffold21,26775577,60,x,x,x,x,x,x,x,x,x,x,x
consensus_20999,SA10,54.23,0,PGA,scaffold21,49192170,60,x,x,x,x,x,x,x,x,x,x,x
consensus_4574,SA10,54.89,0,PGA,scaffold21,33252363,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39174,SA10,54.89,16,PGA,scaffold21,39976334,60,x,x,x,x,x,x,x,x,x,x,x
